Speed,Temperature,Humidity,Pressure,Direction,Year,Month,Day,Time
0.514444,15.6,89,1011.2,90,2001,1,1,0
0,24.5,65,1013.4,0,2001,1,1,3
0,25.6,64,1012.4,0,2001,1,1,6
0,26.8,57,1009.9,0,2001,1,1,9
0,26.8,57,1009.9,0,2001,1,1,12
0,19.8,79,1011.6,0,2001,1,1,15
0,19,84,1012.1,0,2001,1,1,18
0,18,89,1011.7,0,2001,1,1,21
0,17,93,1011.6,0,2001,1,2,0
0,23.4,69,1013.8,0,2001,1,2,3
0,27.6,58,1012.2,0,2001,1,2,6
1.028888,27,67,1010.3,310,2001,1,2,9
0,24,78,1011,0,2001,1,2,12
0,22.6,81,1012.6,0,2001,1,2,15
0,21,85,1013.2,0,2001,1,2,18
0,19.4,90,1013,0,2001,1,2,21
0,18.2,97,1012.8,0,2001,1,3,0
0.514444,23.8,73,1014.6,310,2001,1,3,3
1.543332,26.8,67,1013.2,310,2001,1,3,6
1.543332,26.6,70,1011.2,310,2001,1,3,9
0.514444,24.4,78,1012.2,290,2001,1,3,12
0,23.6,81,1013.2,0,2001,1,3,15
1.028888,22,85,1013.8,310,2001,1,3,18
1.028888,21,85,1013.1,310,2001,1,3,21
1.028888,19.6,79,1014.2,310,2001,1,4,0
2.057776,22,75,1015.8,360,2001,1,4,3
4.115552,25,59,1014.6,360,2001,1,4,6
2.57222,25.4,40,1012.8,350,2001,1,4,9
1.028888,21.6,54,1012.6,360,2001,1,4,12
0,20,56,1014.6,0,2001,1,4,15
0.514444,18.4,58,1015.6,360,2001,1,4,18
1.543332,16.2,73,1015.5,340,2001,1,4,21
2.057776,15,80,1015.3,350,2001,1,5,0
2.057776,19,62,1017.4,360,2001,1,5,3
2.57222,22.4,48,1016.5,360,2001,1,5,6
1.543332,22.8,39,1013.8,360,2001,1,5,9
1.028888,20,52,1014,350,2001,1,5,12
1.028888,19.2,58,1015.2,360,2001,1,5,15
1.543332,17.2,78,1015.6,360,2001,1,5,18
2.057776,15,84,1015.6,50,2001,1,5,21
1.028888,13.5,88,1015.6,50,2001,1,6,0
1.543332,17.8,69,1018.1,360,2001,1,6,3
2.057776,21.2,53,1016.1,360,2001,1,6,6
2.057776,21.5,54,1013.9,310,2001,1,6,9
1.028888,19,58,1013.5,360,2001,1,6,12
0,17,68,1014.5,0,2001,1,6,15
0,15.8,75,1014.3,0,2001,1,6,18
0,14.4,85,1014.1,0,2001,1,6,21
0,12.8,90,1013.8,0,2001,1,7,0
1.543332,19.1,58,1015.8,130,2001,1,7,3
1.543332,22,50,1014.1,340,2001,1,7,6
1.543332,22.6,43,1011.9,360,2001,1,7,9
0.514444,19.8,59,1011.9,340,2001,1,7,12
0,18.1,69,1012.5,0,2001,1,7,15
1.028888,17,78,1012.9,360,2001,1,7,18
1.028888,15.2,82,1012.5,360,2001,1,7,21
1.028888,12.8,88,1011.6,360,2001,1,8,0
0.514444,19.8,63,1013.8,360,2001,1,8,3
1.543332,23,44,1013.1,360,2001,1,8,6
1.028888,23.6,47,1011.4,360,2001,1,8,9
1.543332,19.2,71,1010.5,360,2001,1,8,12
0,19,69,1012.1,0,2001,1,8,15
0,17,78,1012.5,0,2001,1,8,18
0,15.2,80,1012.3,0,2001,1,8,21
0,13,88,1012.9,0,2001,1,9,0
0,20.6,60,1015.1,0,2001,1,9,3
1.028888,25,36,1014.2,50,2001,1,9,6
1.028888,25,44,1012.2,360,2001,1,9,9
0,21.2,68,1012.2,0,2001,1,9,12
1.028888,19,77,1013.6,360,2001,1,9,15
0,18,78,1013.9,0,2001,1,9,18
0,16.4,85,1013.6,0,2001,1,9,21
0,15,82,1014.1,0,2001,1,10,0
0,20.2,57,1016.1,0,2001,1,10,3
2.057776,25,47,1015.3,360,2001,1,10,6
1.028888,25.7,50,1012.1,360,2001,1,10,9
1.028888,21.6,68,1011.9,360,2001,1,10,12
0,19.6,76,1012.5,0,2001,1,10,15
0,18.2,81,1013.2,0,2001,1,10,18
0,16.2,91,1013.1,0,2001,1,10,21
0,15,72,1012,0,2001,1,11,0
2.057776,19,48,1014.4,360,2001,1,11,3
2.57222,25,32,1014,360,2001,1,11,6
2.057776,23.7,31,1011.2,360,2001,1,11,9
3.086664,20.4,42,1011.3,360,2001,1,11,12
2.057776,19.5,51,1012.1,360,2001,1,11,15
1.028888,16,67,1012.8,360,2001,1,11,18
1.028888,14.2,74,1012.5,360,2001,1,11,21
1.028888,12,74,1012.1,360,2001,1,12,0
1.543332,19.8,40,1014.6,360,2001,1,12,3
1.028888,22.2,45,1014,340,2001,1,12,6
1.028888,23.2,34,1011.6,340,2001,1,12,9
1.028888,20.4,52,1011.9,340,2001,1,12,12
1.028888,17.8,71,1013.9,360,2001,1,12,15
1.028888,16.2,75,1013.5,360,2001,1,12,18
0,14,81,1013.1,0,2001,1,12,21
1.028888,13.2,85,1012.6,360,2001,1,13,0
0,18.4,65,1014.6,0,2001,1,13,3
2.057776,23,55,1014.1,340,2001,1,13,6
1.028888,24,46,1011.5,340,2001,1,13,9
1.028888,21,61,1011.6,360,2001,1,13,12
1.028888,18.6,75,1013.2,360,2001,1,13,15
1.028888,17.2,78,1013.7,360,2001,1,13,18
1.028888,15.4,82,1013.5,360,2001,1,13,21
1.028888,13.8,76,1013.5,360,2001,1,14,0
1.028888,19.8,59,1014.7,360,2001,1,14,3
2.057776,24.2,49,1014.2,310,2001,1,14,6
1.028888,24.8,45,1011.9,360,2001,1,14,9
1.028888,21,64,1012.5,360,2001,1,14,12
1.028888,20.1,77,1013.9,360,2001,1,14,15
1.028888,18.2,78,1014.4,360,2001,1,14,18
1.028888,15.3,84,1014.1,360,2001,1,14,21
1.028888,13.6,81,1014.2,360,2001,1,15,0
1.028888,18.6,62,1016.2,360,2001,1,15,3
1.028888,23.1,52,1015.1,360,2001,1,15,6
1.543332,24.2,46,1012.9,360,2001,1,15,9
1.028888,21.6,59,1012.6,360,2001,1,15,12
0,20.7,72,1014.1,0,2001,1,15,15
0,18.6,79,1014.7,0,2001,1,15,18
0,16.3,76,1014.4,0,2001,1,15,21
0,13.4,83,1014.3,0,2001,1,16,0
1.543332,20,59,1016.3,360,2001,1,16,3
1.028888,22.9,58,1015.2,360,2001,1,16,6
1.028888,24.2,42,1012.7,360,2001,1,16,9
0.514444,21,64,1012.5,310,2001,1,16,12
0,20.6,69,1014.3,0,2001,1,16,15
0,18.2,80,1014.9,0,2001,1,16,18
0,16.2,80,1014.7,0,2001,1,16,21
0,13.2,85,1015.6,0,2001,1,17,0
1.028888,20.8,64,1017.2,360,2001,1,17,3
2.57222,23.8,60,1016.3,360,2001,1,17,6
2.057776,25,58,1012.8,360,2001,1,17,9
1.543332,22.4,62,1013,340,2001,1,17,12
1.028888,21.3,68,1013.9,340,2001,1,17,15
0,17.8,81,1014.7,0,2001,1,17,18
0,15.8,77,1014.5,0,2001,1,17,21
0,12.8,87,1014.2,0,2001,1,18,0
2.057776,21,66,1016.2,360,2001,1,18,3
2.57222,24,55,1015.5,360,2001,1,18,6
0,24.8,53,1012.6,0,2001,1,18,9
0,21.8,71,1012.2,0,2001,1,18,12
0,19,84,1014,0,2001,1,18,15
0,16.2,87,1014.7,0,2001,1,18,18
0,15.3,81,1014.6,0,2001,1,18,21
0,14.8,81,1014.9,0,2001,1,19,0
1.543332,21,58,1016.1,360,2001,1,19,3
3.086664,24,53,1015,360,2001,1,19,6
1.028888,25,61,1011.8,340,2001,1,19,9
1.028888,22,62,1011.9,360,2001,1,19,12
0,19.3,76,1013.5,0,2001,1,19,15
0,17.2,83,1014.2,0,2001,1,19,18
0,15.8,77,1013.9,0,2001,1,19,21
0,14.7,87,1013.7,0,2001,1,20,0
1.028888,21,68,1015.3,340,2001,1,20,3
1.028888,24,64,1014.6,360,2001,1,20,6
3.086664,25,71,1011.7,360,2001,1,20,9
0,21.8,75,1011.1,0,2001,1,20,12
0,17,83,1012.2,0,2001,1,20,15
0,16.2,80,1013.4,0,2001,1,20,18
0,15.4,84,1013.3,0,2001,1,20,21
0,14.4,86,1012.1,0,2001,1,21,0
1.028888,21,68,1014.1,360,2001,1,21,3
1.028888,24.8,61,1012.9,340,2001,1,21,6
1.543332,25.4,62,1010.6,360,2001,1,21,9
0,21.6,80,1009.5,0,2001,1,21,12
0,17.7,91,1011.3,0,2001,1,21,15
0,16.8,85,1012.1,0,2001,1,21,18
0,15,85,1011.3,0,2001,1,21,21
0,13.8,92,1011.2,0,2001,1,22,0
1.028888,20.2,69,1013.2,360,2001,1,22,3
1.028888,25,64,1012.1,340,2001,1,22,6
1.028888,25.9,52,1009.7,310,2001,1,22,9
0,22.3,76,1008.7,0,2001,1,22,12
0,20.8,80,1010.1,0,2001,1,22,15
0,17.2,93,1010.9,0,2001,1,22,18
0,15.4,82,1010.9,0,2001,1,22,21
0,12.6,85,1009.7,0,2001,1,23,0
0.514444,20.2,75,1012.1,160,2001,1,23,3
0,24.4,70,1011.4,0,2001,1,23,6
1.028888,25.8,60,1008.9,340,2001,1,23,9
0,21,85,1009.2,0,2001,1,23,12
0,18.6,92,1010.6,0,2001,1,23,15
0,16.3,92,1011.6,0,2001,1,23,18
0,15.8,74,1011.5,0,2001,1,23,21
0,15.2,91,1010.7,0,2001,1,24,0
0,20.7,65,1012.5,0,2001,1,24,3
0.514444,25.4,55,1012,310,2001,1,24,6
1.028888,25,67,1009.4,340,2001,1,24,9
0,22.6,77,1008.8,0,2001,1,24,12
0,19,94,1010.5,0,2001,1,24,15
0,16.2,87,1011.4,0,2001,1,24,18
0,14.6,86,1011.3,0,2001,1,24,21
0,13.6,81,1011.8,0,2001,1,25,0
0,21,78,1013.2,0,2001,1,25,3
1.543332,23.8,38,1013.5,360,2001,1,25,6
1.028888,24.1,33,1010.8,310,2001,1,25,9
1.028888,20.2,36,1010.3,310,2001,1,25,12
1.028888,19.8,49,1011.7,360,2001,1,25,15
0,16.4,73,1012.3,0,2001,1,25,18
0,14.4,84,1012.3,0,2001,1,25,21
0,13.4,84,1011.5,0,2001,1,26,0
0,20.2,42,1012.7,0,2001,1,26,3
1.543332,22.8,57,1011.6,310,2001,1,26,6
2.57222,23,32,1009.6,360,2001,1,26,9
2.057776,20.8,39,1009.8,310,2001,1,26,12
1.543332,20,39,1011.2,360,2001,1,26,15
0,15.3,69,1011.9,0,2001,1,26,18
0,14,76,1011.9,0,2001,1,26,21
0,12.3,86,1012.2,0,2001,1,27,0
1.028888,19.3,54,1013.1,360,2001,1,27,3
1.028888,23.5,35,1012.7,310,2001,1,27,6
1.543332,23.6,33,1010.2,340,2001,1,27,9
1.028888,20.8,43,1010,360,2001,1,27,12
0,17.5,69,1011,0,2001,1,27,15
0,15,82,1012.6,0,2001,1,27,18
0,13.2,88,1012.5,0,2001,1,27,21
0,12.8,90,1012.3,0,2001,1,28,0
0,19.8,59,1014.1,0,2001,1,28,3
1.543332,23,47,1012.9,340,2001,1,28,6
1.028888,24.8,41,1010.4,360,2001,1,28,9
0,21.5,48,1010.3,0,2001,1,28,12
0,19,62,1011.7,0,2001,1,28,15
0,16.2,80,1012.4,0,2001,1,28,18
0,14.6,83,1012.3,0,2001,1,28,21
0,14,86,1011.7,0,2001,1,29,0
0,18.4,72,1013.7,0,2001,1,29,3
1.028888,23.1,52,1013,290,2001,1,29,6
1.543332,24.2,52,1011.2,340,2001,1,29,9
0,21.6,67,1011.4,0,2001,1,29,12
0,19.2,71,1012.7,0,2001,1,29,15
0,15.8,83,1013.5,0,2001,1,29,18
0,14.6,84,1013.5,0,2001,1,29,21
0,14.2,88,1011.9,0,2001,1,30,0
0,19.6,84,1013.3,0,2001,1,30,3
1.028888,23.8,67,1012.5,310,2001,1,30,6
0,24.8,67,1010.9,0,2001,1,30,9
0,22.2,77,1010.9,0,2001,1,30,12
0,18,89,1011.3,0,2001,1,30,15
0,16.2,91,1012.1,0,2001,1,30,18
0,14.3,85,1012,0,2001,1,30,21
0,13.6,89,1011,0,2001,1,31,0
0,19.9,78,1012.1,0,2001,1,31,3
1.028888,23.9,70,1010.4,290,2001,1,31,6
0,24.4,67,1008.3,0,2001,1,31,9
0,22,79,1008.6,0,2001,1,31,12
0,20.6,90,1010.1,0,2001,1,31,15
0,18.8,86,1011.3,0,2001,1,31,18
0,16.8,81,1010.9,0,2001,1,31,21
0,16.6,83,1010.7,0,2001,2,1,0
0,21.2,85,1012.3,0,2001,2,1,3
1.028888,23.4,72,1011.1,290,2001,2,1,6
0,24.2,75,1008.9,0,2001,2,1,9
0,23.8,76,1008.6,0,2001,2,1,12
0,20.2,93,1009.7,0,2001,2,1,15
0,19.4,77,1010.1,0,2001,2,1,18
0,18.8,77,1010,0,2001,2,1,21
0,18.4,68,1010.2,0,2001,2,2,0
0,21,90,1011.7,0,2001,2,2,3
0,25.1,71,1010.5,0,2001,2,2,6
0,25.2,72,1007.7,0,2001,2,2,9
0,23,87,1007.7,0,2001,2,2,12
0,20,90,1009.4,0,2001,2,2,15
0,18.7,86,1010.2,0,2001,2,2,18
0,17,81,1010.2,0,2001,2,2,21
0,16.3,76,1010.4,0,2001,2,3,0
0,20.8,89,1011.4,0,2001,2,3,3
2.057776,24.5,75,1011,310,2001,2,3,6
1.028888,25.8,71,1008.6,360,2001,2,3,9
0,23.8,70,1008.6,0,2001,2,3,12
0,23.7,67,1010.2,0,2001,2,3,15
0,17.3,88,1010.8,0,2001,2,3,18
0,15,86,1010.9,0,2001,2,3,21
0,13.8,86,1010.2,0,2001,2,4,0
1.028888,23,52,1011.7,340,2001,2,4,3
2.57222,25.1,57,1011.5,360,2001,2,4,6
1.028888,27.2,58,1009.4,310,2001,2,4,9
0,25,65,1008.3,0,2001,2,4,12
0,21.9,87,1010.5,0,2001,2,4,15
0,18.3,76,1010.3,0,2001,2,4,18
0,17.4,77,1010.8,0,2001,2,4,21
0,16.4,75,1010.4,0,2001,2,5,0
0,21.7,57,1011.7,0,2001,2,5,3
1.028888,25.3,55,1012.1,360,2001,2,5,6
0,26.8,49,1009.5,0,2001,2,5,9
0,24,73,1009,0,2001,2,5,12
0,20.1,87,1010.3,0,2001,2,5,15
0,17.6,83,1011,0,2001,2,5,18
0,16.8,84,1011,0,2001,2,5,21
0,16.2,75,1010.6,0,2001,2,6,0
0,21.7,74,1012.5,0,2001,2,6,3
0,27.4,46,1011.7,0,2001,2,6,6
1.028888,28,53,1009.3,360,2001,2,6,9
0,24.6,75,1009.4,0,2001,2,6,12
0,21.8,88,1010.5,0,2001,2,6,15
0,17.8,81,1011.5,0,2001,2,6,18
0,16.2,86,1010.9,0,2001,2,6,21
0,17.5,92,1010.6,0,2001,2,7,0
0,22,67,1012.9,0,2001,2,7,3
2.057776,25.1,49,1012.2,340,2001,2,7,6
3.086664,25.4,52,1010.2,350,2001,2,7,9
1.543332,24.4,54,1009.6,330,2001,2,7,12
1.028888,22,54,1010.8,340,2001,2,7,15
1.028888,20,60,1011.6,360,2001,2,7,18
0,17.4,64,1011.2,0,2001,2,7,21
0,14,82,1011.1,0,2001,2,8,0
0,21.2,52,1012.3,0,2001,2,8,3
1.028888,25,46,1012.5,360,2001,2,8,6
2.057776,25.6,44,1010.2,350,2001,2,8,9
1.028888,23,47,1009.3,340,2001,2,8,12
0,21,58,1010.6,0,2001,2,8,15
0,18.5,69,1011.2,0,2001,2,8,18
0,16.2,82,1010.7,0,2001,2,8,21
0,14.2,93,1010.4,0,2001,2,9,0
0,21.8,56,1011.9,0,2001,2,9,3
1.028888,25,36,1011.6,280,2001,2,9,6
1.028888,26,43,1009.2,250,2001,2,9,9
0,22.2,59,1009.1,0,2001,2,9,12
0,20,78,1010.7,0,2001,2,9,15
0,18.2,83,1011.2,0,2001,2,9,18
0,16.5,89,1010.7,0,2001,2,9,21
0,14.6,91,1010.6,0,2001,2,10,0
0,21,69,1012,0,2001,2,10,3
1.543332,25,52,1011,280,2001,2,10,6
1.028888,25.6,54,1008.7,290,2001,2,10,9
0,23,55,1008.3,0,2001,2,10,12
0,21.2,71,1010.2,0,2001,2,10,15
0,19,79,1010.6,0,2001,2,10,18
0,17.4,85,1010.3,0,2001,2,10,21
0.514444,15,93,1010.3,130,2001,2,11,0
0,21.8,64,1012.3,0,2001,2,11,3
1.028888,25.6,47,1011.8,350,2001,2,11,6
1.028888,25.8,53,1009.1,290,2001,2,11,9
0,23.2,69,1009.2,0,2001,2,11,12
0,20.5,85,1010.6,0,2001,2,11,15
0,18.5,90,1010.6,0,2001,2,11,18
0,16.4,93,1010.3,0,2001,2,11,21
0,15,98,1012.7,0,2001,2,12,0
0,21.5,64,1014,0,2001,2,12,3
1.028888,25.6,61,1013.4,360,2001,2,12,6
1.028888,26,64,1010.9,340,2001,2,12,9
0,23.6,71,1010,0,2001,2,12,12
0,21.4,80,1011.6,0,2001,2,12,15
0,20.2,84,1011.6,0,2001,2,12,18
1.028888,18.3,87,1011.6,360,2001,2,12,21
1.028888,16.2,82,1011.3,360,2001,2,13,0
1.028888,22,61,1013,340,2001,2,13,3
1.028888,26,53,1012.4,360,2001,2,13,6
1.028888,27,52,1010,350,2001,2,13,9
0,24.4,68,1009.4,0,2001,2,13,12
0,21.6,85,1011.8,0,2001,2,13,15
0,19.8,82,1012.4,0,2001,2,13,18
0,18.2,83,1012.3,0,2001,2,13,21
0,16.6,81,1012.1,0,2001,2,14,0
1.028888,22.8,53,1013.5,360,2001,2,14,3
2.057776,26.6,49,1012.4,360,2001,2,14,6
1.028888,28,57,1010,360,2001,2,14,9
0,25.4,65,1009.7,0,2001,2,14,12
0,22,80,1011.4,0,2001,2,14,15
0,20.6,85,1011.8,0,2001,2,14,18
1.028888,19.2,88,1011.6,50,2001,2,14,21
1.028888,17.4,78,1011.2,50,2001,2,15,0
0,24.2,54,1013.7,0,2001,2,15,3
1.543332,28.5,56,1012.9,50,2001,2,15,6
1.028888,28.4,50,1011.1,310,2001,2,15,9
0,24.8,74,1011,0,2001,2,15,12
0,22,80,1013.1,0,2001,2,15,15
0,20.5,90,1013.4,0,2001,2,15,18
0,19.8,92,1013.8,0,2001,2,15,21
0,17,98,1013.9,0,2001,2,16,0
0,23.2,74,1015.6,0,2001,2,16,3
1.028888,27.6,60,1014.5,360,2001,2,16,6
1.543332,26.8,67,1012.3,280,2001,2,16,9
1.028888,24.2,80,1011.4,250,2001,2,16,12
0,21.6,79,1014.4,0,2001,2,16,15
0,19.8,86,1014.1,0,2001,2,16,18
0,18.6,90,1013.8,0,2001,2,16,21
0,17.2,96,1014.1,0,2001,2,17,0
1.028888,23,72,1015.6,90,2001,2,17,3
1.028888,26.6,58,1014.4,320,2001,2,17,6
1.028888,27.6,56,1011.8,300,2001,2,17,9
0,25,72,1011.3,0,2001,2,17,12
0,22.8,91,1012.4,0,2001,2,17,15
0,21.2,90,1013.2,0,2001,2,17,18
0,19.1,92,1013,0,2001,2,17,21
0,18,94,1013.7,0,2001,2,18,0
0,23.9,78,1014.4,0,2001,2,18,3
0,27.4,52,1013.4,0,2001,2,18,6
1.028888,28.6,54,1010.8,310,2001,2,18,9
0,26.8,61,1010.1,0,2001,2,18,12
0,24.6,86,1011.4,0,2001,2,18,15
0,22.3,89,1011.9,0,2001,2,18,18
0,20.8,92,1012.3,0,2001,2,18,21
0,19.6,94,1012.6,0,2001,2,19,0
0,23.2,81,1013.6,0,2001,2,19,3
1.028888,27.2,59,1013.1,300,2001,2,19,6
1.543332,27.4,52,1010.5,270,2001,2,19,9
0,25.2,75,1010.1,0,2001,2,19,12
0,23.2,81,1011.2,0,2001,2,19,15
0,22.6,85,1011.9,0,2001,2,19,18
0,21.8,91,1011.6,0,2001,2,19,21
0,21,90,1011.8,0,2001,2,20,0
0,24.6,77,1013.5,0,2001,2,20,3
1.028888,27.6,69,1013.1,330,2001,2,20,6
1.543332,27.4,75,1010.1,340,2001,2,20,9
0,25.6,86,1009.3,0,2001,2,20,12
0,24,84,1010.5,0,2001,2,20,15
0,22.6,85,1011,0,2001,2,20,18
0,21,90,1010.4,0,2001,2,20,21
0,19.6,98,1009.8,0,2001,2,21,0
0,24.6,77,1011.5,0,2001,2,21,3
1.028888,27,61,1010.9,300,2001,2,21,6
1.028888,27.4,58,1008.6,270,2001,2,21,9
0,25.6,70,1007.8,0,2001,2,21,12
0,23.6,84,1009.4,0,2001,2,21,15
0,22.4,87,1009.8,0,2001,2,21,18
0,21.4,90,1008,0,2001,2,21,21
1.028888,20.8,92,1008.4,270,2001,2,22,0
2.057776,19,88,1012.1,50,2001,2,22,3
2.057776,23.2,71,1010.2,160,2001,2,22,6
2.057776,27.7,62,1007.4,180,2001,2,22,9
1.028888,25.4,77,1007.6,180,2001,2,22,12
0,24.2,80,1009.5,0,2001,2,22,15
0,22.8,87,1010,0,2001,2,22,18
0,20.4,99,1009.6,0,2001,2,22,21
1.028888,20.8,98,1010.3,360,2001,2,23,0
1.028888,24.4,78,1011.6,360,2001,2,23,3
1.028888,26.4,73,1011,360,2001,2,23,6
0,28.2,66,1008.3,0,2001,2,23,9
1.028888,25.2,78,1008.5,340,2001,2,23,12
1.028888,23.8,87,1009.8,360,2001,2,23,15
0,23,85,1010.2,0,2001,2,23,18
0,22.6,85,1009.8,0,2001,2,23,21
0,22.3,84,1009.5,0,2001,2,24,0
0,24,67,1011.4,0,2001,2,24,3
0,28,53,1010.1,0,2001,2,24,6
0,27.2,69,1007.6,0,2001,2,24,9
0,25.4,73,1007.4,0,2001,2,24,12
0,23.2,87,1008.2,0,2001,2,24,15
1.028888,22.7,86,1009,200,2001,2,24,18
0,22.1,86,1008.9,0,2001,2,24,21
0,21.4,89,1008.4,0,2001,2,25,0
2.057776,24,79,1008.8,160,2001,2,25,3
4.115552,28,67,1009.4,180,2001,2,25,6
2.057776,28,67,1007.2,180,2001,2,25,9
1.028888,25.2,79,1007.3,180,2001,2,25,12
1.028888,22.8,89,1009.4,180,2001,2,25,15
2.057776,22.4,87,1010,180,2001,2,25,18
1.028888,22,88,1009.7,180,2001,2,25,21
2.057776,21.2,88,1008.8,180,2001,2,26,0
4.115552,23.8,84,1010.3,180,2001,2,26,3
5.14444,27.2,72,1009.8,180,2001,2,26,6
2.057776,27,75,1008.2,180,2001,2,26,9
1.028888,25.4,80,1008.9,180,2001,2,26,12
1.028888,23.6,92,1010.2,180,2001,2,26,15
1.028888,22.8,89,1010.8,180,2001,2,26,18
2.057776,22.3,90,1010.8,180,2001,2,26,21
2.057776,21.4,89,1012.2,180,2001,2,27,0
2.057776,25.3,79,1013.8,180,2001,2,27,3
4.115552,28.4,69,1014,180,2001,2,27,6
2.057776,27.2,78,1011.9,180,2001,2,27,9
0,25.6,88,1012.8,0,2001,2,27,12
0,24.4,90,1014.8,0,2001,2,27,15
0,23.2,90,1015.2,0,2001,2,27,18
0,22.4,90,1014.8,0,2001,2,27,21
0,21.3,91,1015.1,0,2001,2,28,0
0,26.2,82,1016.4,0,2001,2,28,3
1.028888,29.4,67,1015.3,180,2001,2,28,6
0,28.8,75,1013.2,0,2001,2,28,9
0,26,88,1012.7,0,2001,2,28,12
0,24.8,91,1013.5,0,2001,2,28,15
0,22.7,92,1014,0,2001,2,28,18
0,22,96,1013.8,0,2001,2,28,21
0,20.6,88,1014.4,0,2001,3,1,0
0,24.6,71,1015.6,0,2001,3,1,3
0,29.2,71,1014.7,0,2001,3,1,6
2.057776,28.3,73,1013,290,2001,3,1,9
1.028888,26.8,76,1012.7,310,2001,3,1,12
0,25.3,84,1014,0,2001,3,1,15
0,23.6,88,1014.8,0,2001,3,1,18
0,22.4,94,1014.2,0,2001,3,1,21
0,21.3,89,1014,0,2001,3,2,0
0,26.3,64,1015.6,0,2001,3,2,3
0,29,63,1015,0,2001,3,2,6
1.028888,30,62,1012.3,290,2001,3,2,9
0,28.6,67,1012.2,0,2001,3,2,12
0,26.3,81,1013.7,0,2001,3,2,15
0,24.2,83,1014.4,0,2001,3,2,18
0,22.5,93,1014,0,2001,3,2,21
0,21.2,92,1014.4,0,2001,3,3,0
0,26.3,69,1015.5,0,2001,3,3,3
1.028888,29,61,1014.5,270,2001,3,3,6
1.543332,30,62,1012.1,270,2001,3,3,9
1.028888,27.2,73,1012,210,2001,3,3,12
0,25,77,1013.9,0,2001,3,3,15
1.028888,23,81,1013.7,180,2001,3,3,18
0,21,85,1013.6,0,2001,3,3,21
0,19.5,79,1013.4,0,2001,3,4,0
2.057776,25.8,48,1014.8,180,2001,3,4,3
3.086664,28.5,49,1013.5,210,2001,3,4,6
2.057776,29.5,54,1010.9,210,2001,3,4,9
1.028888,27,62,1010.9,210,2001,3,4,12
1.028888,25,74,1012.1,180,2001,3,4,15
0,23.2,81,1011.7,0,2001,3,4,18
1.028888,20.4,84,1011.4,180,2001,3,4,21
1.028888,18.8,75,1010.6,180,2001,3,5,0
1.543332,25.5,45,1013.4,180,2001,3,5,3
1.028888,28.5,58,1013.1,180,2001,3,5,6
2.057776,28.4,58,1010.9,180,2001,3,5,9
6.173328,26.2,53,1011.7,180,2001,3,5,12
1.028888,24,63,1012.6,180,2001,3,5,15
1.028888,22,72,1012.2,180,2001,3,5,18
0,19.2,79,1011.6,0,2001,3,5,21
0,17.3,91,1011.2,0,2001,3,6,0
1.543332,25.4,62,1014.2,50,2001,3,6,3
1.028888,27.5,52,1014.1,50,2001,3,6,6
2.057776,28,46,1011.7,360,2001,3,6,9
1.028888,26,56,1011.1,360,2001,3,6,12
0,25.2,67,1012.8,0,2001,3,6,15
0,22.4,77,1013.2,0,2001,3,6,18
1.028888,20.1,85,1012.9,360,2001,3,6,21
1.028888,18.4,83,1013,360,2001,3,7,0
1.028888,25.8,60,1016.7,360,2001,3,7,3
1.543332,28,56,1014.1,360,2001,3,7,6
3.086664,28,61,1011.1,360,2001,3,7,9
1.543332,26.2,57,1009.9,360,2001,3,7,12
1.028888,24.4,71,1011.3,360,2001,3,7,15
1.028888,22.2,79,1011.2,360,2001,3,7,18
1.028888,20,86,1011.1,360,2001,3,7,21
1.028888,18,72,1010.8,360,2001,3,8,0
1.028888,25.2,64,1012.6,360,2001,3,8,3
2.057776,28,46,1011.6,360,2001,3,8,6
1.028888,29,51,1008.9,360,2001,3,8,9
1.028888,27.2,61,1009.1,360,2001,3,8,12
0,25,65,1010.1,0,2001,3,8,15
0,24,73,1010.7,0,2001,3,8,18
1.028888,20.6,74,1010.4,360,2001,3,8,21
0,18.5,85,1010.8,0,2001,3,9,0
1.028888,26.3,49,1012.4,360,2001,3,9,3
1.028888,28,55,1012.1,360,2001,3,9,6
1.028888,29.6,61,1008.9,310,2001,3,9,9
0,26.5,67,1008.4,0,2001,3,9,12
0,25,79,1010.3,0,2001,3,9,15
1.028888,23.2,81,1010.6,360,2001,3,9,18
1.028888,21.4,83,1010.4,360,2001,3,9,21
0,19,73,1010.8,0,2001,3,10,0
